OriginRegion, DestinationRegion, EventName, IndustryCode, IndustryDescription, ImpactType, Output, Employment, WageAndSalaryEmployment, ProprietorEmployment, EmployeeCompensation, ProprietorIncome, TaxesOnProductionAndImports, OtherPropertyIncome, TagName
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,42,Electric power transmission and distribution,Indirect,11276.654987674456,0.008068484671985928,0.0073327514471509024,0.0007357332248350251,1176.5464506625221,-3.4043515567375824,578.78459704211,1707.5838039634086,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,43,Natural gas distribution,Indirect,1271.4358827029525,0.0020730912259108703,0.0019173937585243962,0.0001556974673864739,298.69380254702094,-1.1331257115984135,202.4638842865846,194.63846469447438,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,44,"Water, sewage and other systems",Indirect,205.31631794703603,0.0009081504270767442,0.0009081504270767442,0,44.458729760934915,0,19.93096750006421,10.20769224863319,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,55,Maintenance and repair construction of nonresidential structures,Indirect,11416.731900281435,0.06298610524617278,0.03103751860557838,0.0319485866405944,2307.843774707552,1308.035701016408,121.25015700500431,390.2879861374457,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,56,Maintenance and repair construction of residential structures,Indirect,67.45026764451046,0.0005098482533678529,0.00027158919894709846,0.00023825905442075444,18.78228778138093,9.34473793043575,0.8627960225753826,2.86287514694791,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,57,"Maintenance and repair construction of highways, streets, bridges, and tunnels",Indirect,6.314319204165003,3.511161721698283E-05,1.7304734016557106E-05,1.780688320042572E-05,1.2865003709704699,0.729049286292829,0.06876875457089072,0.2347023440112618,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,82,Frozen cakes and other pastries manufacturing,Indirect,0.06058155554866392,2.3495195510640724E-07,2.3495195510640724E-07,0,0.010035981518007128,0,0.00038895497083637104,0.005312294435146993,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,84,"Animal, except poultry, slaughtering",Indirect,0.647115119060953,8.691559612136374E-07,6.172414053260158E-07,2.5191455588762143E-07,0.028039853437637378,0.002106077743003462,0.001633483862149597,0.00464828540539105,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,85,Meat processed from carcasses,Indirect,0.20124724290598184,3.509801047279971E-07,2.377953326190858E-07,1.1318477210891139E-07,0.013860895694217105,0.000977906286423627,0.0003905246631968717,0.0010797075151236808,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,88,"Bread and bakery product, except frozen, manufacturing",Indirect,0.7597099002561959,4.278075818557155E-06,3.869994345106843E-06,4.080814734503122E-07,0.16662169205256191,0.029090862283467737,0.004450216807958376,0.05366293927089374,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,93,Other snack food manufacturing,Indirect,0.022605511400446535,3.7756365290236995E-08,3.7756365290236995E-08,0,0.0029838443577925745,0,2.8417692320972783E-05,0.0006687859711945048,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,101,Breweries,Indirect,0.4157434123247025,1.5791409683421463E-06,1.5791409683421463E-06,0,0.052451830208700805,0,0.011344869204987848,0.010285510251125653,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,116,Other textile product mills,Indirect,2.0037517381089054,7.2033635100027185E-06,0,7.2033635100027185E-06,0,1.1274302955409492,0.015368029683838264,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,120,Apparel accessories and other apparel manufacturing,Indirect,0.25687893019995806,4.0776542466019307E-07,5.0212647642637046E-08,3.57552777017556E-07,0.0006413756802034657,0.22871534323928067,0.00014292661658734846,6.48248256387077E-05,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,123,Other leather and allied product manufacturing,Indirect,0.43148293389349285,1.3143757113839322E-06,0,1.3143757113839322E-06,0,0.2805420643498202,0.0006357313897714178,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,124,Sawmills,Indirect,10.214585228867872,2.3791315200868935E-05,1.9549889829713577E-05,4.241425371155356E-06,0.6227198882815416,0.6242540330607292,0.05793145648854296,0.15449123293378236,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,144,Printing,Indirect,2253.665759360503,0.012816087861873212,0.012816087861873212,0,430.9607636503925,0,29.170177755468373,200.57752171162582,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,146,Petroleum refineries,Indirect,2317.197531943371,0.0002642980105871136,0,0.0002642980105871136,0,54.00411303088067,19.21778929782876,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,166,Biological product (except diagnostic) manufacturing,Indirect,5.277022814160425E-05,1.0611913816726583E-10,0,1.0611913816726583E-10,0,1.2996059108489994E-05,1.7715209309183665E-06,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,185,Other plastics product manufacturing,Indirect,34.90166888655183,0.00010535997707642589,0.00010535997707642589,0,4.874763419608956,0,0.2676898252659536,0.7058538264855371,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,194,Glass product manufacturing made of purchased glass,Indirect,0.13952309969378268,4.95984305166348E-07,2.884608391624306E-07,2.075234660039174E-07,0.013680066516045449,0.00043725919183905463,0.0015839609603149425,0.0029599468624969816,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,196,Ready-mix concrete manufacturing,Indirect,164.15253672319193,0.0003828433011574429,0.0002459486871115365,0.00013689461404590633,11.909503839498782,0.436950438718061,2.7527607048907314,4.182033991550179,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,231,Sheet metal work manufacturing,Indirect,6.584629749174845,2.3290331722871386E-05,2.1486907970036346E-05,1.8034237528350374E-06,0.7208523811375092,0.34876485479945835,0.07859200033948786,0.13983414706519623,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,351,Other household nonupholstered furniture manufacturing,Indirect,0.0011489233690719202,3.895094276121244E-09,3.895094276121244E-09,0,9.572169438789126E-05,0,9.685471355340972E-06,9.827612467296954E-06,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,364,Jewelry and silverware manufacturing,Indirect,0.015669147396335955,7.456870051019404E-08,0,7.456870051019404E-08,0,0.0008516004055715427,0.00029707753124947727,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,375,Wholesale - Motor vehicle and motor vehicle parts and supplies,Indirect,1037.5857466952443,0.001971539873575621,0.0011443569075003394,0.0008271829660752819,152.44211466150352,36.00290054289913,26.04673669619581,233.73714255864363,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,376,Wholesale - Professional and commercial equipment and supplies,Indirect,55.13807562807893,0.0001788585560797731,9.373047395777901E-05,8.512808212199409E-05,22.772129747027442,3.412238213233864,1.1590234351271504,3.646689636395941,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,377,Wholesale - Household appliances and electrical and electronic goods,Indirect,273.6193788156036,0.00034698639886238027,0.0001909677081643574,0.00015601869069802285,38.24063386101993,5.098749032425141,5.56210870962339,68.30745128688719,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,378,"Wholesale - Machinery, equipment, and supplies",Indirect,1572.5300625476525,0.005787547717111121,0.0043109254026431395,0.0014766223144679817,359.3275144442658,61.54315468274764,55.44987828594315,212.10745073767137,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,379,Wholesale - Other durable goods merchant wholesalers,Indirect,375.46248461801895,0.0011978390840964041,0.0009215429344095009,0.0002762961496869032,88.09017172098665,15.59289473475206,13.52475385724216,52.12992169417581,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,381,Wholesale - Grocery and related product wholesalers,Indirect,163.18250798883554,0.0005965329404726418,0.00041887612081480997,0.00017765681965783173,41.922721773814544,7.5418029505877495,1.6786496406939617,25.986522659457226,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,382,Wholesale - Petroleum and petroleum products,Indirect,1622.4877215773222,0.0018123432758267535,0.0016270296882508488,0.00018531358757590494,47.57855293541064,7.4099396462106215,1133.2807851991888,100.25256114153741,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,383,Wholesale - Other nondurable goods merchant wholesalers,Indirect,3244.7570174971283,0.01104161590506342,0.009735289477263582,0.0013063264277998375,397.47118629745,62.184076135816866,244.62165502307806,386.9629265603751,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,384,Wholesale - Wholesale electronic markets and agents and brokers,Indirect,64.60250866256662,0.0012887534502508873,0.0011395772336525475,0.00014917621659833985,37.62058517024037,5.370315168858468,0.3880600912824444,-29.54216374844971,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,385,Retail - Motor vehicle and parts dealers,Indirect,865.9335969679195,0.005490688271456291,0.004696557668036445,0.0007941306034198461,312.73279122742304,28.233052568019247,21.11118054692126,211.4538136431604,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,386,Retail - Furniture and home furnishings stores,Indirect,28.113061573666524,0.0003860895205172507,0.00015078244255935767,0.00023530707795789305,9.22995329759224,1.6457749388823943,1.0603786300924163,12.81330669897782,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,387,Retail - Electronics and appliance stores,Indirect,11.294819858857633,0.00033642410291718616,0.00013568029159418996,0.00020074381132299625,9.070932784160672,1.255610637149581,0.48284011340675564,-0.7289244524313586,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,388,Retail - Building material and garden equipment and supplies stores,Indirect,1663.4699498607688,0.013476405331533475,0.011475332185337294,0.0020010731461961805,695.5119262455006,31.283905592361666,41.78865625917724,694.0551612944682,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,389,Retail - Food and beverage stores,Indirect,46.83476246298883,0.00046656312474704995,0.0004248294644638265,4.173366028322348E-05,18.672885768128577,3.4983298790984882,0.6652456909467521,10.946671087240258,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,390,Retail - Health and personal care stores,Indirect,2.600114653348355,3.6074936781244224E-05,1.2717354240036354E-05,2.3357582541207865E-05,0.809486035440573,0.15531984466405974,0.05258991638826669,0.6449835765217137,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,391,Retail - Gasoline stores,Indirect,61.3049353591465,0.0004850499023996639,0.00045845206484432217,2.6597837555341657E-05,21.194920296387608,7.3487288100417185,1.0928254922337632,11.444049226813187,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,392,Retail - Clothing and clothing accessories stores,Indirect,2.2133447568250895,2.786321095714364E-05,6.7853918791214545E-06,2.1077819078022185E-05,0.22986988579633527,0.2569180198617774,0.06131809615007145,0.1875655790174444,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,393,"Retail - Sporting goods, hobby, musical instrument and book stores",Indirect,27.03462048482179,0.000760004906236439,0.00029781657800705456,0.0004621883282293844,8.78723235819053,1.5233986966218072,0.8522420705349848,6.136028823811061,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,394,Retail - General merchandise stores,Indirect,60.070441112674686,0.0008745407731844668,0.0007427556694428125,0.00013178510374165422,28.578767735694395,1.0897302113395018,-2.326293278763914,7.921997991184597,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,395,Retail - Miscellaneous store retailers,Indirect,62.60187399057974,0.001275525606293922,0.00024060856871494939,0.0010349170375789727,8.551604412571375,16.53511577177434,1.1589209933512596,0.11400737608968456,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,396,Air transportation,Indirect,1288.6381154779306,0.0010908219675280339,0,0.0010908219675280339,0,942.6919005970585,55.770150313146985,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,397,Rail transportation,Indirect,423.6152122312336,0.0008018756379188468,0.0008018756379188468,0,88.26939040115667,0,4.626621219861386,168.15252119108405,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,398,Water transportation,Indirect,16.69717361289259,2.7494936616535298E-05,0,2.7494936616535298E-05,0,-2.4614638382546548,0.05025072346710406,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,399,Truck transportation,Indirect,2249.29981574007,0.005397149178326175,0.0037736099919655954,0.0016235391863605802,286.34123995949125,1189.4323460963312,25.21081593066723,136.98120651117702,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,400,Transit and ground passenger transportation,Indirect,1453.9033611886327,0.022218356005830386,0,0.022218356005830386,0,402.43024479652365,38.9585962360033,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,401,Pipeline transportation,Indirect,22.069495095543207,2.7909673155000928E-05,2.7909673155000928E-05,0,4.606252201666275,0,3.895569145098253,0.3258666333323949,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,402,Scenic and sightseeing transportation and support activities for transportation,Indirect,505.9557492645043,0.016215074169761784,0.013358668980188514,0.0028564051895732666,1201.2881652085507,-825.472204078392,30.19537105443944,-279.79149833200137,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,403,Couriers and messengers,Indirect,1074.9222820487944,0.21468438232511677,0,0.21468438232511677,0,69.40576360524506,187.32599939637396,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,404,Warehousing and storage,Indirect,301.84487374298465,0.006461488695336619,0.00030146569697994284,0.006160022998356675,24.489578278000288,57.770609062746814,7.944362995995034,3.163502592448257,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,405,Newspaper publishers,Indirect,2821.363468337153,0.01121197843318169,0.01121197843318169,0,720.9433946812007,0,24.282924342850784,1326.2648427595775,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,407,Book publishers,Indirect,208.14195308222963,0.00018228929075551602,0.00018228929075551602,0,34.23017904634008,0,0.9937806275518217,112.03121758477518,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,410,Software publishers,Indirect,347.34709839705414,0.0012961355960197957,0.00030261241892590325,0.0009935231770938923,34.90751106666595,10.898691915592776,6.389183141554489,49.87109633454943,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,411,Motion picture and video industries,Indirect,850395.1936551078,3.5552364690314895,2.2776874590079044,1.2775490100235845,125208.30210531584,2000.4974177599422,25620.82042922165,128008.48093979414,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,413,Radio and television broadcasting,Indirect,22860.791759704218,0.07798317732936208,0.05132144724053226,0.02666173008882982,3033.231989704541,365.43879262411747,410.1904309438431,-849.5354358335131,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,415,Wired telecommunications carriers,Indirect,7161.30817710565,0.018735310713708674,0.008868692830274421,0.009866617883434252,879.2043519995144,58.3277880870179,189.1781008000017,1539.140333108357,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,416,Wireless telecommunications carriers (except satellite),Indirect,7340.988618232507,0.0031545950748357427,0.001851676448509924,0.0013029186263258192,191.71156235059516,7.802246635473973,164.45108349866112,3083.432556134794,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,418,"Data processing, hosting, and related services",Indirect,4059.55241067105,0.019294175448674525,0.004248517319195522,0.015045658129479007,450.7776259062967,134.23558125769628,25.339989071470146,145.41672511942474,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,419,"News syndicates, libraries, archives and all other information services",Indirect,7.707416795493667,0.00012019171818551331,0.00012019171818551331,0,9.302642274475017,0,0.05321086910246111,-2.282118974259922,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,420,Internet publishing and broadcasting and web search portals,Indirect,6097.091673851624,0.0074001494652959,0.0029634551720105705,0.004436694293285329,94.07410933703544,54.631946638415094,36.98086596747151,241.70182030889202,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,421,Nondepository credit intermediation and related activities,Indirect,2467.8574767925775,0.0075015599494299215,0.006083416675518772,0.00141814327391115,703.2408670247033,15.582365582645572,72.54801036696084,301.11842620239435,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,422,Securities and commodity contracts intermediation and brokerage,Indirect,1598.680530032554,0.0163755458664894,0.0012995433208577063,0.015076002545631692,479.5538864315127,27.765352738496027,5.216701235572721,-19.600011928061274,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,423,Monetary authorities and depository credit intermediation,Indirect,66000.77929659738,0.17924666047205617,0.15978370995918878,0.019462950512867408,14900.226110089125,169.45388653321203,1908.6525687147391,23463.729899958653,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,424,Other financial investment activities,Indirect,3.858981474109661,2.0466869536208733E-05,2.0466869536208733E-05,0,1.369414456961239,0,0.029158410001263412,0.02241781137925558,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,426,"Insurance carriers, except direct life",Indirect,24048.182736194547,0.0513543167962114,0.016057171657334942,0.03529714513887646,2725.5262941482197,157.34716202859633,4572.646083554672,2264.154443629315,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,427,"Insurance agencies, brokerages, and related activities",Indirect,35320.20205046651,0.16163713211236333,0.09892435709989941,0.06271277501246392,7140.802937036199,270.032059486821,1141.2992645500283,3143.0040923174583,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,428,"Funds, trusts, and other financial vehicles",Indirect,442.91091393667,0.002251655139869798,0.0003512310391344106,0.0019004241007353876,28.374899628740533,0.041891965991151255,0.7732977409707141,5.478915478793044,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,429,Other real estate,Indirect,163867.1966927159,0.9076487202131701,0.08628553600599802,0.8213631842071721,4435.402497891551,8925.02865282848,1805.633923252599,23080.14439107344,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,432,Automotive equipment rental and leasing,Indirect,3990.3125504064656,0.014136861440610405,0.010171145077571477,0.003965716363038929,481.0965381793347,129.58833990192755,174.90414834597135,434.10475653365455,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,433,General and consumer goods rental except video tapes and discs,Indirect,3565.192016176555,0.026364501752099923,0.01917757670010311,0.00718692505199681,929.4266281395069,241.2099115560719,166.38017390121908,61.93378614431751,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,434,Video tape and disc rental,Indirect,0.010616535795955855,6.182177389346306E-08,1.2950404310801655E-08,4.887136958266141E-08,0.0023178405535053885,0.0011900584065052983,0.0007552343689335876,0.0007247217595527876,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,435,Commercial and industrial machinery and equipment rental and leasing,Indirect,5584.833338824345,0.014237217804531802,0.009517398136814277,0.0047198196677175255,762.5841337512715,157.64945258771974,209.957696066766,863.820362842223,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,436,Lessors of nonfinancial intangible assets,Indirect,5900.687684534792,0.0007165729491851011,0.0005814397071307339,0.00013513324205436725,46.19066249965582,1.7123802051724935,67.90730305784908,3030.030403265396,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,437,Legal services,Indirect,10946.584704321926,0.09343574858157126,0.032660384271248635,0.06077536431032263,2829.472530353514,673.7648467141735,51.541130382659674,2165.341530990891,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,438,"Accounting, tax preparation, bookkeeping, and payroll services",Indirect,7677.3515939442195,0.10047784459033644,0.05328204971845592,0.047195794871880525,2477.8691711620204,598.798913443526,69.16526025414689,542.6384419293048,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,439,"Architectural, engineering, and related services",Indirect,1223.3837475660298,0.01068690792196291,0.0034802535263111158,0.007206654395651795,299.30829891883593,76.94792998453477,12.134336977716142,61.761042011187584,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,441,Custom computer programming services,Indirect,2155.1447338535345,0.0294799146115086,0.00796169954457187,0.021518215066936734,872.4307703177209,244.5716394921747,2.9954153465771953,-129.1021889070641,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,442,Computer systems design services,Indirect,309.43621870552994,0.00300992839802828,0.0008124549363667847,0.0021974734616614948,72.3255826945458,21.831700194821533,2.1565409968066986,6.047610750432113,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,443,"Other computer related services, including facilities management",Indirect,504.04016900634787,0.0041205235408820085,0.0013883539274650988,0.00273216961341691,103.66936729970531,27.723430093151645,4.743257244005827,25.14658373543047,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,444,Management consulting services,Indirect,9212.637742488667,0.1009731117913318,0.030184749852350964,0.07078836193898082,3130.6607922278868,759.91615885703,89.64932233984284,166.94014243560156,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,445,Environmental and other technical consulting services,Indirect,1512.5452730583172,0.014238443927140703,0.008138861243523081,0.006099582683617623,307.44085959041377,73.13426062418866,12.220525748463185,22.53678127507364,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,446,Scientific research and development services,Indirect,434.6736962365357,0.001746316632273332,0.0013820322027856225,0.0003642844294877092,116.12257175222996,5.983569943146714,3.1944220802910674,28.9496440825233,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,447,"Advertising, public relations, and related services",Indirect,4683.528267221454,0.03128921573193927,0.011195253722511529,0.02009396200942774,688.4153353162616,630.8728799820201,55.522554442848836,852.0172178318614,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,449,Veterinary services,Indirect,0.1187656688843866,1.5057118245473816E-06,1.0078879328511823E-06,4.978238916961992E-07,0.03216414610475549,0.007568667507411819,0.0009404571226010359,0.017578692933134896,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,450,"All other miscellaneous professional, scientific, and technical services",Indirect,32939.11658155107,0.1657024450747025,0.058097602813878095,0.1076048422608244,5561.631926895851,1352.6604364392292,224.68265597843526,6607.477464471449,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,451,Management of companies and enterprises,Indirect,1122.5317170756489,0.010339737936544602,0,0.010339737936544602,0,126.74618679122463,39.13761657724333,0,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,452,Office administrative services,Indirect,6927.896753364884,0.07326161877630386,0.04485869078665597,0.028402927989647886,5466.378328036775,877.8012042961387,20.76040150441942,-1521.4779682327303,""
Beaverhead,"Beaverhead County, MT (2024)",Beaverhead,454,Employment services,Indirect,41685.13821577661,0.2741863992869882,0.15063033803758355,0.12355606124940464,22753.50793548613,3874.8894484590573,74.46136930551246,5684.65470285242,""
